qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AH1_S13_NODE_1_length_9974_cov_3.863393_13,ABJ09649.1,31.2,269,172,5,2,266,17,276,4.08e-34,130.0,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,ABJ09649.1,YqaJ,Bacillus phage 1,322.0,DQ840344.2,35055.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Svunavirus,,Svunavirus sv1,E,Bacillus phage 1,,,DQ840344,NC_009737,Complete genome,dsDNA,bacteria,83.928
AH1_S13_NODE_1_length_9974_cov_3.863393_15,QMV33117.1,41.7,242,139,1,28,267,28,269,6.139999999999999e-54,183.0,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,QMV33117.1,hypothetical protein 18C_00049,Ralstonia phage Firinga,353.0,MT740737.1,39744.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Firingavirus,,Firingavirus firinga,E,Ralstonia phage Firinga,Firinga,,MT740737,NC_054961,Complete genome,dsDNA,bacteria,100.914
AH1_S13_NODE_1_length_9974_cov_3.863393_17,AWN04670.1,32.1,212,109,13,9,199,16,213,1.83e-14,71.6,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,AWN04670.1,hypothetical protein PBI_SQUASH_51,Microbacterium phage Squash,216.0,MH153813.1,62312.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Squashvirus,,Squashvirus squash,E,Microbacterium phage Squash,,,MH153813,NC_047975,Complete genome,dsDNA,bacteria,68.052
AH1_S13_NODE_1_length_9974_cov_3.863393_19,QPD96365.1,61.3,62,24,0,4,65,3,64,1.11e-22,90.1,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,QPD96365.1,hypothetical protein 20Ca_00047,Ralstonia phage Claudette,317.0,MT740731.2,57085.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gervaisevirus,,Gervaisevirus claudettte,E,Ralstonia phage Claudette,Claudette,,MT740731,NC_054962,Complete genome,dsDNA,bacteria,38.006
AH1_S13_NODE_1_length_9974_cov_3.863393_3,AWN04223.1,63.2,68,19,1,109,176,640,701,1.83e-17,81.6,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,AWN04223.1,hypothetical protein PBI_SOUR_22,Gordonia phage Sour,701.0,MH153810.1,61670.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Sourvirus,,Sourvirus sour,E,Gordonia phage Sour,,,MH153810,NC_042132,Complete genome,dsDNA,bacteria,42.976000000000006
AH1_S13_NODE_1_length_9974_cov_3.863393_5,QDH83648.1,43.6,149,80,2,22,168,270,416,1.25e-26,108.0,AH1_S13_NODE_1_length_9974_cov_3.863393,9231,QDH83648.1,chitinase,Achromobacter phage Motura,498.0,MN094788.1,221431.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Moturavirus,,Moturavirus motura,E,Achromobacter phage Motura,,,MN094788,NC_049849,Complete genome,dsDNA,bacteria,64.964
AH1_S13_NODE_2_length_9181_cov_3.350945_1,ADE87932.1,31.8,487,269,14,89,522,49,525,7.069999999999999e-52,190.0,AH1_S13_NODE_2_length_9181_cov_3.350945,8139,ADE87932.1,putative phage major capsid protein,Escherichia phage vB_EcoM_ECO1230-10,682.0,GU903191.1,41666.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Jilinvirus,,Jilinvirus CVM10,E,Escherichia phage vB_EcoM_ECO1230-10,,,GU903191,NC_027995,Complete genome,dsDNA,bacteria,154.866
AH1_S13_NODE_2_length_9181_cov_3.350945_2,ADE87933.1,40.6,448,253,4,26,462,23,468,1.02e-100,315.0,AH1_S13_NODE_2_length_9181_cov_3.350945,8139,ADE87933.1,putative phage capsid protein,Escherichia phage vB_EcoM_ECO1230-10,518.0,GU903191.1,41666.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Jilinvirus,,Jilinvirus CVM10,E,Escherichia phage vB_EcoM_ECO1230-10,,,GU903191,NC_027995,Complete genome,dsDNA,bacteria,181.88800000000003
AH1_S13_NODE_2_length_9181_cov_3.350945_6,AUV56766.1,40.4,591,310,12,40,617,21,582,1.3500000000000001e-133,408.0,AH1_S13_NODE_2_length_9181_cov_3.350945,8139,AUV56766.1,terminase large subunit,Faecalibacterium phage FP_Toutatis,615.0,MG711466.1,54725.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Toutatisvirus,,Toutatisvirus toutatis,E,Faecalibacterium phage FP_Toutatis,,,MG711466,NC_047915,Complete genome,dsDNA,bacteria,238.764
AH1_S13_NODE_2_length_9181_cov_3.350945_7,AUV56353.1,26.6,169,98,5,34,189,14,169,9.19e-06,47.0,AH1_S13_NODE_2_length_9181_cov_3.350945,8139,AUV56353.1,terminase small subunit,Faecalibacterium phage FP_Lagaffe,192.0,MG711461.1,48211.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Lagaffevirus,,Lagaffevirus lagaffe,E,Faecalibacterium phage FP_Lagaffe,,,MG711461,NC_047911,Complete genome,dsDNA,bacteria,44.954
