AT10B_S2_NODE_1_length_122269_cov_11.242561_1	QJD50825.1	80.4	107	21	0	1	107	248	354	7.40e-64	199
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	QBP30875.1	80.4	107	21	0	1	107	248	354	3.35e-62	195
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	ASR77783.1	79.4	107	22	0	1	107	225	331	1.02e-61	193
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AST15309.1	79.4	107	22	0	1	107	248	354	1.90e-61	193
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	QGH76387.1	81.3	107	20	0	1	107	248	354	1.90e-61	193
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AIW02580.1	77.6	107	24	0	1	107	248	354	8.55e-60	189
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	QDH93945.1	77.6	107	24	0	1	107	248	354	8.55e-60	189
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	ASR77341.1	74.8	107	27	0	1	107	248	354	5.44e-58	184
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	ASR77562.1	74.8	107	27	0	1	107	248	354	5.44e-58	184
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	QDK02933.1	74.8	107	27	0	1	107	248	354	5.44e-58	184
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	ASR75483.1	74.8	107	27	0	1	107	248	354	7.69e-58	184
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AYB70917.1	59.3	108	42	1	1	106	250	357	8.24e-42	142
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AXH67266.1	57.4	108	44	1	1	106	226	333	3.86e-41	140
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AXH69948.1	57.4	108	44	1	1	106	250	357	9.00e-41	140
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AXH66828.1	57.4	108	44	1	1	106	244	351	1.58e-40	139
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AXH69605.1	57.4	108	44	1	1	106	250	357	6.97e-40	137
AT10B_S2_NODE_1_length_122269_cov_11.242561_1	AVD99255.1	54.5	110	46	1	2	107	251	360	2.19e-38	134
AT10B_S2_NODE_1_length_122269_cov_11.242561_2	QBP30876.1	84.6	254	35	2	1	250	1	254	4.47e-150	421
