qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_1,QGH76387.1,81.3,107,20,0,1,107,248,354,1.9e-61,193.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76387.1,DNA primase,Streptomyces phage Daubenski,354.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,86.991
AT10B_S2_NODE_1_length_122269_cov_11.242561_10,AIW02589.1,89.2,111,12,0,1,111,1,111,2.1799999999999997e-68,202.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02589.1,hypothetical protein PBI_JAY2JAY_91,Streptomyces phage Jay2Jay,111.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,99.01200000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_101,AIW02681.1,86.1,79,11,0,1,79,1,79,7.29e-50,153.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02681.1,hypothetical protein PBI_JAY2JAY_227,Streptomyces phage Jay2Jay,79.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,68.019
AT10B_S2_NODE_1_length_122269_cov_11.242561_102,QGH76485.1,87.3,102,13,0,1,102,1,102,6.29e-66,196.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76485.1,hypothetical protein SEA_DAUBENSKI_217,Streptomyces phage Daubenski,102.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,89.04599999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_103,ASR77444.1,82.7,98,17,0,1,98,1,98,1.7899999999999998e-55,169.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77444.1,hypothetical protein SEA_NOOTNOOT_221,Streptomyces phage NootNoot,102.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,81.046
AT10B_S2_NODE_1_length_122269_cov_11.242561_104,ASR75593.1,82.0,61,11,0,1,61,1,61,1.45e-30,103.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75593.1,hypothetical protein SEA_MILDRED21_235,Streptomyces phage Mildred21,61.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,50.019999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_105,ASR77883.1,82.9,76,13,0,1,76,1,76,2.1500000000000002e-43,137.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77883.1,hypothetical protein SEA_PEEBS_223,Streptomyces phage Peebs,76.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,63.004000000000005
AT10B_S2_NODE_1_length_122269_cov_11.242561_106,ASR77447.1,85.4,82,12,0,1,82,1,82,3.99e-44,139.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77447.1,hypothetical protein SEA_NOOTNOOT_224,Streptomyces phage NootNoot,82.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,70.028
AT10B_S2_NODE_1_length_122269_cov_11.242561_107,QGH76490.1,78.2,133,29,0,1,133,1,133,6.27e-67,201.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76490.1,hypothetical protein SEA_DAUBENSKI_222,Streptomyces phage Daubenski,133.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,104.00600000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_108,AST15419.1,93.1,101,6,1,1,100,1,101,2.28e-61,184.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15419.1,hypothetical protein SEA_SAMISTI12_233,Streptomyces phage Samisti12,102.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,94.03099999999999
